id,cases,disease,year,vaccine,event,event_date,head
79,122,Polio,1964,FALSE,,,
80,164,Diphtheria,1965,FALSE,"A historic rubella epidemic leads to births of 20,000 disabled U.S. babies. ",1964&ndash;1965 ,
81,261904,Measles,1965,FALSE,,,
82,6799,Pertussis,1965,FALSE,,,
83,72,Polio,1965,FALSE,,,
84,209,Diphtheria,1966,FALSE,,,
85,32859,Hepatitis A,1966,FALSE,,,TRUE
86,1497,Hepatitis B,1966,FALSE,,,TRUE
87,204136,Measles,1966,FALSE,,,
88,7717,Pertussis,1966,FALSE,,,
89,113,Polio,1966,FALSE,,,
90,46975,Rubella,1966,FALSE,,,TRUE
91,219,Diphtheria,1967,FALSE,,,
92,38909,Hepatitis A,1967,FALSE,,,
93,2458,Hepatitis B,1967,FALSE,,,
94,62705,Measles,1967,FALSE,,,
94.5,0,Mumps,1967,Mumps vaccine is licensed.,,,
95,9718,Pertussis,1967,FALSE,,,
96,41,Polio,1967,FALSE,,,
97,46888,Rubella,1967,FALSE,,,
98,260,Diphtheria,1968,FALSE,,,
99,45893,Hepatitis A,1968,FALSE,,,
100,4829,Hepatitis B,1968,FALSE,,,
101,22231,Measles,1968,FALSE,,,
102,152209,Mumps,1968,FALSE,,,TRUE
103,4810,Pertussis,1968,FALSE,,,
104,53,Polio,1968,FALSE,,,
105,49371,Rubella,1968,FALSE,,,
106,241,Diphtheria,1969,FALSE,,,
107,48416,Hepatitis A,1969,FALSE,,,
108,5909,Hepatitis B,1969,FALSE,,,
109,25826,Measles,1969,FALSE,,,
110,90918,Mumps,1969,FALSE,,,
111,3285,Pertussis,1969,FALSE,,,
112,20,Polio,1969,FALSE,,,
113,57686,Rubella,1969,The first rubella vaccines licensed and recommended for all children.,,,
114,435,Diphtheria,1970,FALSE,,,
115,56797,Hepatitis A,1970,FALSE,,,
116,8310,Hepatitis B,1970,FALSE,,,
117,47351,Measles,1970,FALSE,,,
118,104953,Mumps,1970,FALSE,,,
119,4249,Pertussis,1970,FALSE,,,
120,33,Polio,1970,FALSE,,,
121,56552,Rubella,1970,FALSE,,,
122,215,Diphtheria,1971,FALSE,"The first combined &quot;MMR&quot; &ndash; measles, mumps, and rubella vaccine is licensed.",1971,
123,59606,Hepatitis A,1971,FALSE,,,
124,9556,Hepatitis B,1971,FALSE,,,
125,75290,Measles,1971,FALSE,,,
126,124939,Mumps,1971,FALSE,,,
127,3036,Pertussis,1971,FALSE,,,
128,21,Polio,1971,FALSE,,,
129,45086,Rubella,1971,FALSE,,,
130,152,Diphtheria,1972,FALSE,,,
131,54074,Hepatitis A,1972,FALSE,,,
132,9402,Hepatitis B,1972,FALSE,,,
133,32275,Measles,1972,FALSE,,,
134,74215,Mumps,1972,FALSE,,,
135,3287,Pertussis,1972,FALSE,,,
136,31,Polio,1972,FALSE,,,
137,25507,Rubella,1972,FALSE,,,
138,164114,Chickenpox,1972,FALSE,,,TRUE
139,228,Diphtheria,1973,FALSE,,,
140,50749,Hepatitis A,1973,FALSE,,,
141,8451,Hepatitis B,1973,FALSE,,,
142,26690,Measles,1973,FALSE,,,
143,69612,Mumps,1973,FALSE,,,
144,1759,Pertussis,1973,FALSE,,,
145,8,Polio,1973,FALSE,,,
146,27804,Rubella,1973,FALSE,,,
147,182927,Chickenpox,1973,FALSE,,,
148,272,Diphtheria,1974,FALSE,,,
149,40358,Hepatitis A,1974,FALSE,,,
150,10631,Hepatitis B,1974,FALSE,,,
151,22094,Measles,1974,FALSE,,,
152,59128,Mumps,1974,FALSE,,,
153,2402,Pertussis,1974,FALSE,,,
154,7,Polio,1974,FALSE,,,
155,11917,Rubella,1974,FALSE,,,
156,141495,Chickenpox,1974,FALSE,,,
157,307,Diphtheria,1975,FALSE,,,
158,35855,Hepatitis A,1975,FALSE,,,
159,13121,Hepatitis B,1975,FALSE,,,
160,24374,Measles,1975,FALSE,,,
161,59647,Mumps,1975,FALSE,,,
162,1738,Pertussis,1975,FALSE,,,
163,8,Polio,1975,FALSE,,,
164,16652,Rubella,1975,FALSE,,,
165,154248,Chickenpox,1975,FALSE,,,
166,128,Diphtheria,1976,FALSE,,,
167,33288,Hepatitis A,1976,FALSE,,,
168,14973,Hepatitis B,1976,FALSE,,,
169,41126,Measles,1976,FALSE,,,
170,38492,Mumps,1976,FALSE,,,
171,1010,Pertussis,1976,FALSE,,,
172,14,Polio,1976,FALSE,,,
173,12491,Rubella,1976,FALSE,,,
174,183990,Chickenpox,1976,FALSE,,,
175,84,Diphtheria,1977,FALSE,,,
176,31153,Hepatitis A,1977,FALSE,,,
177,16831,Hepatitis B,1977,FALSE,,,
178,57345,Measles,1977,FALSE,,,
179,21436,Mumps,1977,FALSE,,,
180,2177,Pertussis,1977,FALSE,,,
181,18,Polio,1977,FALSE,,,
182,20395,Rubella,1977,FALSE,,,
183,188396,Chickenpox,1977,FALSE,,,
184,76,Diphtheria,1978,FALSE,,,
185,29500,Hepatitis A,1978,FALSE,,,
186,15016,Hepatitis B,1978,FALSE,,,
187,26871,Measles,1978,FALSE,,,
188,16817,Mumps,1978,FALSE,,,
189,2063,Pertussis,1978,FALSE,,,
190,15,Polio,1978,FALSE,,,
191,18269,Rubella,1978,FALSE,,,
192,154089,Chickenpox,1978,FALSE,,,
193,59,Diphtheria,1979,FALSE,,,
194,30407,Hepatitis A,1979,FALSE,,,
195,15452,Hepatitis B,1979,FALSE,,,
196,13597,Measles,1979,FALSE,,,
197,14225,Mumps,1979,FALSE,,,
198,1623,Pertussis,1979,FALSE,,,
199,34,Polio,1979,FALSE,,,
200,11795,Rubella,1979,FALSE,,,
201,199081,Chickenpox,1979,FALSE,,,
202,3,Diphtheria,1980,FALSE,,,
203,29087,Hepatitis A,1980,FALSE,,,
204,19015,Hepatitis B,1980,FALSE,,,
205,13506,Measles,1980,FALSE,,,
206,8576,Mumps,1980,FALSE,,,
207,1730,Pertussis,1980,FALSE,,,
208,9,Polio,1980,FALSE,,,
209,3904,Rubella,1980,FALSE,,,
210,190894,Chickenpox,1980,FALSE,,,
211,5,Diphtheria,1981,FALSE,,,
212,25802,Hepatitis A,1981,FALSE,,,
213,21152,Hepatitis B,1981,Hepatitis B vaccine licensed. Initially used in high-risk groups like babies of infected mothers.,,,
214,3124,Measles,1981,FALSE,,,
215,4941,Mumps,1981,FALSE,,,
216,1248,Pertussis,1981,FALSE,,,
217,6,Polio,1981,FALSE,,,
218,2077,Rubella,1981,FALSE,,,
219,200766,Chickenpox,1981,FALSE,,,
220,2,Diphtheria,1982,FALSE,,,
221,23403,Hepatitis A,1982,FALSE,,,
222,22177,Hepatitis B,1982,FALSE,,,
223,1714,Measles,1982,FALSE,,,
224,5270,Mumps,1982,FALSE,,,
225,1895,Pertussis,1982,FALSE,,,
226,8,Polio,1982,FALSE,,,
227,2325,Rubella,1982,FALSE,,,
228,167423,Chickenpox,1982,FALSE,,,
229,5,Diphtheria,1983,FALSE,,,
230,21532,Hepatitis A,1983,FALSE,,,
231,24318,Hepatitis B,1983,FALSE,,,
232,1497,Measles,1983,FALSE,,,
233,3355,Mumps,1983,FALSE,,,
234,2463,Pertussis,1983,FALSE,,,
235,15,Polio,1983,FALSE,,,
236,970,Rubella,1983,FALSE,,,
237,177462,Chickenpox,1983,FALSE,,,
238,1,Diphtheria,1984,FALSE,,,
239,22040,Hepatitis A,1984,FALSE,,,
240,26115,Hepatitis B,1984,FALSE,,,
241,2587,Measles,1984,FALSE,,,
242,3021,Mumps,1984,FALSE,,,
243,2276,Pertussis,1984,FALSE,,,
244,9,Polio,1984,FALSE,,,
245,752,Rubella,1984,FALSE,,,
246,221983,Chickenpox,1984,FALSE,,,
247,3,Diphtheria,1985,FALSE,<em>Haemophilus influenzae</em> type b vaccine is licensed. It soon becomes a routine childhood vacccine.,1985,
248,23210,Hepatitis A,1985,FALSE,,,
249,26611,Hepatitis B,1985,FALSE,,,
250,2822,Measles,1985,FALSE,,,
251,2982,Mumps,1985,FALSE,,,
252,3589,Pertussis,1985,FALSE,,,
253,8,Polio,1985,FALSE,,,
254,630,Rubella,1985,FALSE,,,
255,178162,Chickenpox,1985,FALSE,,,
256,23430,Hepatitis A,1986,FALSE,"After a wave of lawsuits against vaccine-makers, Congress creates the National Vaccine Injury Compensation Program. ",1986,
257,26107,Hepatitis B,1986,FALSE,,,
258,6282,Measles,1986,FALSE,,,
259,7790,Mumps,1986,FALSE,,,
260,4195,Pertussis,1986,FALSE,,,
261,10,Polio,1986,FALSE,,,
262,551,Rubella,1986,FALSE,,,
263,183243,Chickenpox,1986,FALSE,,,
264,3,Diphtheria,1987,FALSE,,,
265,25280,Hepatitis A,1987,FALSE,,,
266,25916,Hepatitis B,1987,FALSE,,,
267,3655,Measles,1987,FALSE,,,
268,12848,Mumps,1987,FALSE,,,
269,2823,Pertussis,1987,FALSE,,,
270,9,Polio,1987,FALSE,,,
271,306,Rubella,1987,FALSE,,,
272,213196,Chickenpox,1987,FALSE,,,
273,2,Diphtheria,1988,FALSE,,,
274,28507,Hepatitis A,1988,FALSE,,,
275,23177,Hepatitis B,1988,FALSE,,,
276,3396,Measles,1988,FALSE,,,
277,4866,Mumps,1988,FALSE,,,
278,3450,Pertussis,1988,FALSE,,,
279,9,Polio,1988,FALSE,,,
280,225,Rubella,1988,FALSE,,,
281,192857,Chickenpox,1988,FALSE,,,
282,3,Diphtheria,1989,FALSE,,,
283,35821,Hepatitis A,1989,FALSE,,,
284,23419,Hepatitis B,1989,FALSE,,,
285,18193,Measles,1989,FALSE,,,
286,5712,Mumps,1989,FALSE,,,
287,4157,Pertussis,1989,FALSE,,,
288,11,Polio,1989,FALSE,,,
289,396,Rubella,1989,FALSE,,,
290,185441,Chickenpox,1989,FALSE,,,
291,4,Diphtheria,1990,FALSE,,,
292,31441,Hepatitis A,1990,FALSE,,,
293,21102,Hepatitis B,1990,FALSE,,,
294,27786,Measles,1990,FALSE,,,
295,5292,Mumps,1990,FALSE,,,
296,4570,Pertussis,1990,FALSE,,,
297,6,Polio,1990,FALSE,,,
298,1125,Rubella,1990,FALSE,,,
299,173099,Chickenpox,1990,FALSE,,,
300,5,Diphtheria,1991,FALSE,,,
301,24378,Hepatitis A,1991,FALSE,,,
302,18003,Hepatitis B,1991,CDC expands hepatitis B vaccine recommendation to all infants.,,,
303,9643,Measles,1991,FALSE,,,
304,4264,Mumps,1991,FALSE,,,
305,2719,Pertussis,1991,FALSE,,,
306,10,Polio,1991,FALSE,,,
307,1401,Rubella,1991,FALSE,,,
308,147076,Chickenpox,1991,FALSE,,,
309,4,Diphtheria,1992,FALSE,,,
310,23112,Hepatitis A,1992,FALSE,,,
311,16126,Hepatitis B,1992,FALSE,,,
312,2237,Measles,1992,FALSE,,,
313,2572,Mumps,1992,FALSE,,,
314,4083,Pertussis,1992,FALSE,,,
315,6,Polio,1992,FALSE,,,
316,160,Rubella,1992,FALSE,,,
317,158364,Chickenpox,1992,FALSE,,,
318,24238,Hepatitis A,1993,FALSE,"The U.S. Vaccines for Children program is launched, allowing free vaccines for poor children. ",1993,
319,13361,Hepatitis B,1993,FALSE,,,
320,312,Measles,1993,FALSE,,,
321,1692,Mumps,1993,FALSE,,,
322,6586,Pertussis,1993,FALSE,,,
323,4,Polio,1993,FALSE,,,
324,192,Rubella,1993,FALSE,,,
325,134722,Chickenpox,1993,FALSE,,,
326,2,Diphtheria,1994,FALSE,,,
327,26796,Hepatitis A,1994,FALSE,,,
328,12517,Hepatitis B,1994,FALSE,,,
329,963,Measles,1994,FALSE,,,
330,1537,Mumps,1994,FALSE,,,
331,4617,Pertussis,1994,FALSE,,,
332,8,Polio,1994,FALSE,,,
333,227,Rubella,1994,FALSE,,,
334,151219,Chickenpox,1994,FALSE,,,
335,31582,Hepatitis A,1995,Hepatitis A vaccine is licensed. CDC recommends it for children in high-risk communities.,,,
336,10805,Hepatitis B,1995,FALSE,,,
337,309,Measles,1995,FALSE,,,
338,906,Mumps,1995,FALSE,,,
339,5137,Pertussis,1995,FALSE,,,
340,7,Polio,1995,FALSE,,,
341,128,Rubella,1995,FALSE,,,
342,120624,Chickenpox,1995,Chickenpox vaccine is licensed and added to the routine childhood vaccine schedule.,,,
343,2,Diphtheria,1996,FALSE,,,
344,31302,Hepatitis A,1996,FALSE,,,
345,10637,Hepatitis B,1996,FALSE,,,
346,508,Measles,1996,FALSE,,,
347,751,Mumps,1996,FALSE,,,
348,7796,Pertussis,1996,FALSE,,,
349,7,Polio,1996,FALSE,,,
350,238,Rubella,1996,FALSE,,,
351,83511,Chickenpox,1996,FALSE,,,
352,4,Diphtheria,1997,FALSE,,,
353,30021,Hepatitis A,1997,FALSE,,,
354,10416,Hepatitis B,1997,FALSE,,,
355,138,Measles,1997,FALSE,,,
356,683,Mumps,1997,FALSE,,,
357,6564,Pertussis,1997,FALSE,,,
358,6,Polio,1997,FALSE,,,
359,181,Rubella,1997,FALSE,,,
360,98727,Chickenpox,1997,FALSE,,,
361,1,Diphtheria,1998,FALSE,U.K. doctor Andrew Wakefield <em>et al.</em> publish a <em>Lancet</em> paper suggesting MMR vaccine causes autism.,1998,
362,23229,Hepatitis A,1998,FALSE,,,
363,10258,Hepatitis B,1998,FALSE,,,
364,100,Measles,1998,FALSE,,,
365,666,Mumps,1998,FALSE,,,
366,7405,Pertussis,1998,FALSE,,,
367,3,Polio,1998,FALSE,,,
368,364,Rubella,1998,FALSE,,,
369,82455,Chickenpox,1998,FALSE,,,
370,1,Diphtheria,1999,FALSE,,,
371,17047,Hepatitis A,1999,FALSE,,,
372,7694,Hepatitis B,1999,FALSE,,,
373,100,Measles,1999,FALSE,,,
374,387,Mumps,1999,FALSE,,,
375,7288,Pertussis,1999,FALSE,,,
376,2,Polio,1999,FALSE,,,
377,267,Rubella,1999,FALSE,,,
378,46016,Chickenpox,1999,FALSE,,,
379,1,Diphtheria,2000,FALSE,,,
380,13397,Hepatitis A,2000,FALSE,,,
381,8036,Hepatitis B,2000,FALSE,,,
382,86,Measles,2000,FALSE,,,
383,338,Mumps,2000,FALSE,,,
384,7867,Pertussis,2000,FALSE,,,
385,176,Rubella,2000,FALSE,,,
386,27382,Chickenpox,2000,FALSE,,,
387,2,Diphtheria,2001,FALSE,"Thimerosal, a mercury-containing preservative, is removed from U.S. childhood vaccines. ",1999&ndash;2001 ,
388,10609,Hepatitis A,2001,FALSE,,,
389,7843,Hepatitis B,2001,FALSE,,,
390,116,Measles,2001,FALSE,,,
391,266,Mumps,2001,FALSE,,,
392,7580,Pertussis,2001,FALSE,,,
393,23,Rubella,2001,FALSE,,,
394,22536,Chickenpox,2001,FALSE,,,
395,1,Diphtheria,2002,FALSE,,,
396,8795,Hepatitis A,2002,FALSE,,,
397,7996,Hepatitis B,2002,FALSE,,,
398,44,Measles,2002,FALSE,,,
399,270,Mumps,2002,FALSE,,,
400,9771,Pertussis,2002,FALSE,,,
401,18,Rubella,2002,FALSE,,,
402,22841,Chickenpox,2002,FALSE,,,
403,1,Diphtheria,2003,FALSE,,,
404,7653,Hepatitis A,2003,FALSE,,,
405,7526,Hepatitis B,2003,FALSE,,,
406,56,Measles,2003,FALSE,,,
407,231,Mumps,2003,FALSE,,,
408,11647,Pertussis,2003,FALSE,,,
409,7,Rubella,2003,FALSE,,,
410,20948,Chickenpox,2003,FALSE,,,
411,5683,Hepatitis A,2004,FALSE,An Institute of Medicine report finds that neither thimerosal nor the MMR vaccine causes autism. ,2004,
412,6212,Hepatitis B,2004,FALSE,,,
413,37,Measles,2004,FALSE,,,
414,258,Mumps,2004,FALSE,,,
415,25827,Pertussis,2004,FALSE,,,
416,10,Rubella,2004,FALSE,,,
417,32931,Chickenpox,2004,FALSE,,,
418,4488,Hepatitis A,2005,CDC extends hepatitis A vaccine recommendation to all children.,,,
419,5119,Hepatitis B,2005,FALSE,,,
420,66,Measles,2005,FALSE,,,
421,314,Mumps,2005,FALSE,,,
422,25616,Pertussis,2005,FALSE,,,
423,1,Polio,2005,FALSE,,,
424,11,Rubella,2005,FALSE,,,
425,32242,Chickenpox,2005,FALSE,,,
426,3579,Hepatitis A,2006,FALSE,HPV vaccine is licensed and added to the childhood vaccine schedule for girls. Boys are added in 2011. ,2006,
427,4713,Hepatitis B,2006,FALSE,,,
428,55,Measles,2006,FALSE,,,
429,6584,Mumps,2006,FALSE,,,
430,15632,Pertussis,2006,FALSE,,,
431,11,Rubella,2006,FALSE,,,
432,48445,Chickenpox,2006,FALSE,,,
433,2979,Hepatitis A,2007,FALSE,,,
434,4519,Hepatitis B,2007,FALSE,,,
435,43,Measles,2007,FALSE,,,
436,800,Mumps,2007,FALSE,,,
437,10454,Pertussis,2007,FALSE,,,
438,12,Rubella,2007,FALSE,,,
439,40146,Chickenpox,2007,FALSE,,,
440,2585,Hepatitis A,2008,FALSE,,,
441,4033,Hepatitis B,2008,FALSE,,,
442,140,Measles,2008,FALSE,,,
443,454,Mumps,2008,FALSE,,,
444,13278,Pertussis,2008,FALSE,,,
445,16,Rubella,2008,FALSE,,,
446,30386,Chickenpox,2008,FALSE,,,
447,1987,Hepatitis A,2009,FALSE,,,
448,3405,Hepatitis B,2009,FALSE,,,
449,71,Measles,2009,FALSE,,,
450,1991,Mumps,2009,FALSE,,,
451,16858,Pertussis,2009,FALSE,,,
452,1,Polio,2009,FALSE,,,
453,3,Rubella,2009,FALSE,,,
454,20480,Chickenpox,2009,FALSE,,,
455,1670,Hepatitis A,2010,FALSE,The <em>Lancet</em> retracts the 1998 Wakefield <em>et al.</em> paper.,2010,
456,3374,Hepatitis B,2010,FALSE,,,
457,63,Measles,2010,FALSE,,,
458,2612,Mumps,2010,FALSE,,,
459,27550,Pertussis,2010,FALSE,,,
460,5,Rubella,2010,FALSE,,,
461,15427,Chickenpox,2010,FALSE,,,
462,1398,Hepatitis A,2011,FALSE,,,
463,2903,Hepatitis B,2011,FALSE,,,
464,220,Measles,2011,FALSE,,,
465,404,Mumps,2011,FALSE,,,
466,18719,Pertussis,2011,FALSE,,,
467,4,Rubella,2011,FALSE,,,
468,14513,Chickenpox,2011,FALSE,,,
469,1,Diphtheria,2012,FALSE,,,
470,1562,Hepatitis A,2012,FALSE,,,
471,2895,Hepatitis B,2012,FALSE,,,
472,55,Measles,2012,FALSE,,,
473,229,Mumps,2012,FALSE,,,
474,48277,Pertussis,2012,FALSE,,,
475,9,Rubella,2012,FALSE,,,
476,13447,Chickenpox,2012,FALSE,,,
477,1781,Hepatitis A,2013,FALSE,,,
478,3050,Hepatitis B,2013,FALSE,,,
479,187,Measles,2013,FALSE,,,
480,584,Mumps,2013,FALSE,,,
481,28639,Pertussis,2013,FALSE,,,
482,1,Polio,2013,FALSE,,,
483,9,Rubella,2013,FALSE,,,
484,11359,Chickenpox,2013,FALSE,,,
485,1,Diphtheria,2014,FALSE,,,
486,1239,Hepatitis A,2014,FALSE,,,
487,2791,Hepatitis B,2014,FALSE,,,
488,667,Measles,2014,FALSE,,,
489,1223,Mumps,2014,FALSE,,,
490,32971,Pertussis,2014,FALSE,,,
491,6,Rubella,2014,FALSE,,,
492,10172,Chickenpox,2014,FALSE,,,
493,0,Rubella,2015,FALSE,An outbreak of measles that begins at Disneyland focuses attention on vaccine resistance. ,December 2014&ndash;February 2015 ,
