## from https://peerj.com/articles/1980
## via https://gist.github.com/gavinsimpson/bf11b821be44fc24e30ff8546ad8ca9d
"ssws","site","transect","california.cucumber","dungeness.crab","green.urchin","grunt.sculpin","longfin.sculpin","misc.crab","octopus","orange.cup.coral","red.rock.crab","red.urchin","sailfin.sculpin","scalyhead.sculpin","sculpin","shrimp","spot.prawn","squat.lobster","sunflower.star","white.urchin"
"before","BICN1","BICN1-A",2,0,0,0,0,6,0,15,0,0,0,0,0,13,0,4,1,1
"before","BICN1","BICN1-B",2,0,0,0,0,3,0,0,0,0,0,0,2,6,0,0,1,0
"before","BICN1","BICN1-C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
"before","BICN1","BICN1-D",0,0,0,0,0,5,0,0,0,0,0,0,1,14,0,0,2,0
"after","BICN3","BICN3-A",2,0,0,0,0,2,0,14,0,0,0,1,2,4,0,0,0,0
"after","BICN3","BICN3-B",5,0,0,0,0,1,0,18,0,0,0,0,0,9,0,0,0,0
"after","BICN3","BICN3-C",2,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0
"after","BICN3","BICN3-D",2,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0
"before","BICN3","BICN3-A",1,0,0,0,0,0,0,12,0,0,0,0,0,3,0,1,0,0
"before","BICN3","BICN3-B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"before","BICN3","BICN3-C",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"before","BICN3","BICN3-D",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
"after","LB2","LB2-A",2,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0
"after","LB2","LB2-B",3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
"after","LB2","LB2-C",4,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"after","LB2","LB2-D",4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
"before","LB2","LB2-A",3,0,0,0,0,1,0,0,0,0,0,0,0,64,1,13,0,0
"before","LB2","LB2-B",7,0,1,0,0,1,0,0,0,0,0,4,3,10,0,0,3,0
"before","LB2","LB2-C",1,0,6,0,0,2,0,0,0,0,0,0,2,12,1,3,0,0
"before","LB2","LB2-D",2,0,2,0,0,9,1,0,0,0,0,0,4,12,0,0,4,0
"after","LB5","LB5-A",16,0,6,0,0,3,0,7,0,0,0,0,0,2,0,0,0,0
"after","LB5","LB5-B",6,0,3,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0
"after","LB5","LB5-C",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"after","LB5","LB5-D",3,0,2,0,4,6,0,13,0,0,0,0,0,2,0,0,1,0
"before","LB5","LB5-A",4,0,0,0,0,2,0,4,0,3,0,0,0,1,0,0,0,0
"before","LB5","LB5-B",2,0,7,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
"before","LB5","LB5-C",0,0,1,0,1,0,0,43,0,0,0,0,0,1,0,0,1,5
"before","LB5","LB5-D",1,0,4,0,0,2,0,23,0,0,0,1,0,1,0,0,0,1
"after","LBCN2","LBCN2-A",0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1
"after","LBCN2","LBCN2-B",1,0,2,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0
"after","LBCN2","LBCN2-C",2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","LBCN2","LBCN2-D",14,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"before","LBCN2","LBCN2-A",12,0,0,0,0,1,0,13,0,0,0,0,0,20,0,0,0,0
"before","LBCN2","LBCN2-B",3,1,8,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0
"before","LBCN2","LBCN2-C",19,0,0,0,0,1,0,2,0,0,0,1,0,9,1,1,0,0
"before","LBCN2","LBCN2-D",6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,35,4,0
"after","LBCN3","LBCN3-A",5,0,25,0,5,1,0,24,0,0,0,1,0,1,0,0,0,1
"after","LBCN3","LBCN3-B",0,0,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"after","LBCN3","LBCN3-C",8,0,1,0,3,2,0,0,0,0,0,0,0,6,0,0,0,0
"after","LBCN3","LBCN3-D",6,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
"before","LBCN3","LBCN3-A",4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"before","LBCN3","LBCN3-B",8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"before","LBCN3","LBCN3-C",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0
"before","LBCN3","LBCN3-D",1,0,4,0,0,0,0,0,0,0,0,0,0,7,4,1,0,0
"after","PASS1","PASS1-A",0,0,14,0,1,3,0,12,0,0,0,0,0,0,0,0,0,0
"after","PASS1","PASS1-B",0,0,101,0,0,55,0,0,0,0,0,0,1,0,0,0,0,0
"after","PASS1","PASS1-C",2,0,5,0,0,1,0,43,0,0,0,0,0,4,0,0,0,0
"after","PASS1","PASS1-D",6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"before","PASS1","PASS1-A",1,0,17,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0
"before","PASS1","PASS1-B",1,0,10,0,0,31,0,0,0,0,0,0,10,6,0,0,1,0
"before","PASS1","PASS1-C",0,0,15,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0
"before","PASS1","PASS1-D",0,0,34,0,0,8,0,0,0,0,0,0,1,3,0,0,0,0
"after","PASS3","PASS3-A",1,0,9,0,0,25,0,6,0,0,0,1,2,10,0,0,0,0
"after","PASS3","PASS3-B",7,0,67,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
"after","PASS3","PASS3-C",6,0,1,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0
"after","PASS3","PASS3-D",11,0,18,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0
"before","PASS3","PASS3-A",0,0,0,0,0,5,0,0,0,0,0,0,1,5,0,0,0,0
"before","PASS3","PASS3-B",0,0,2,0,0,18,0,0,0,0,0,0,2,3,0,0,3,3
"before","PASS3","PASS3-C",0,0,0,0,0,5,0,0,0,0,0,0,3,14,0,0,2,0
"before","PASS3","PASS3-D",0,0,0,0,0,14,0,0,0,0,0,0,8,11,0,0,1,2
"after","PASSCN22","PASSCN22-A",0,0,0,0,0,10,0,11,0,0,0,0,0,5,0,0,0,0
"after","PASSCN22","PASSCN22-B",0,0,25,0,0,25,0,0,0,2,0,6,0,0,0,0,0,0
"after","PASSCN22","PASSCN22-C",2,0,1,0,0,13,0,0,0,0,0,1,0,2,0,0,0,0
"after","PASSCN22","PASSCN22-D",5,0,26,0,0,39,0,0,1,0,0,1,0,1,0,0,0,0
"before","PASSCN22","PASSCN22-A",0,0,0,0,0,8,0,0,0,1,0,0,0,7,0,0,1,0
"before","PASSCN22","PASSCN22-B",1,0,1,0,0,10,0,0,0,0,0,0,3,4,0,0,10,0
"before","PASSCN22","PASSCN22-C",0,0,1,0,0,30,0,0,0,0,0,0,4,14,0,0,0,0
"before","PASSCN22","PASSCN22-D",0,0,3,0,0,25,0,0,0,0,0,0,6,21,0,0,0,0
"after","PASSCN24","PASSCN24-A",0,0,0,0,0,5,0,1,1,1,0,0,0,23,0,0,0,0
"after","PASSCN24","PASSCN24-B",3,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"after","PASSCN24","PASSCN24-C",0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"after","PASSCN24","PASSCN24-D",2,0,13,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0
"before","PASSCN24","PASSCN24-A",0,0,0,0,0,29,0,0,0,0,0,0,1,1,0,0,0,0
"before","PASSCN24","PASSCN24-B",1,0,0,0,0,41,0,0,0,0,0,0,1,7,0,0,0,0
"before","PASSCN24","PASSCN24-C",2,0,0,0,0,65,0,0,0,0,0,0,1,27,0,0,1,0
"before","PASSCN24","PASSCN24-D",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0
"after","PR1","PR1-A",0,0,0,0,0,2,0,7,0,0,0,0,0,3,0,0,0,0
"after","PR1","PR1-B",6,0,0,0,1,4,0,13,0,0,0,0,0,1,0,0,0,0
"after","PR1","PR1-C",3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0
"after","PR1","PR1-D",2,0,0,0,1,2,0,3,0,0,0,0,0,4,0,0,0,0
"before","PR1","PR1-A",1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"before","PR1","PR1-B",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,50,0
"before","PR1","PR1-C",7,0,1,0,0,2,0,2,0,0,0,2,0,17,0,0,0,0
"before","PR1","PR1-D",3,0,0,0,0,2,0,0,0,0,0,0,7,18,0,0,0,4
"after","PR3","PR3-A",0,0,1,0,0,2,0,0,0,0,0,0,2,3,0,1,0,0
"after","PR3","PR3-B",1,0,8,0,2,1,0,3,0,1,0,2,0,23,0,0,0,0
"after","PR3","PR3-C",2,0,4,0,0,2,0,10,0,0,0,2,0,5,0,0,0,0
"after","PR3","PR3-D",0,0,1,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0
"before","PR3","PR3-A",3,0,47,0,0,2,0,9,0,0,0,1,0,0,0,0,0,0
"before","PR3","PR3-B",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"before","PR3","PR3-C",0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,2,0,0
"before","PR3","PR3-D",1,0,0,0,1,0,0,0,0,0,0,0,0,12,17,0,1,0
"after","PRCN5","PRCN5-A",1,0,2,0,0,4,0,34,0,0,0,0,2,12,0,0,0,0
"after","PRCN5","PRCN5-B",2,0,1,0,0,1,0,17,0,0,0,0,0,5,0,0,0,0
"after","PRCN5","PRCN5-C",2,0,10,0,2,1,0,4,0,0,0,1,0,3,0,0,1,0
"after","PRCN5","PRCN5-D",1,0,10,0,1,0,0,12,0,0,0,0,1,4,0,0,0,0
"before","PRCN5","PRCN5-A",0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0
"before","PRCN5","PRCN5-B",0,0,0,0,0,1,0,0,0,0,0,0,2,35,6,0,1,0
"before","PRCN5","PRCN5-C",0,0,1,0,0,2,0,2,0,0,0,0,0,18,137,0,0,0
"before","PRCN5","PRCN5-D",0,0,0,0,0,0,0,0,1,0,0,0,4,4,257,0,3,0
"after","PRCN6","PRCN6-A",2,0,2,0,0,1,0,1,0,1,0,0,1,9,0,0,0,0
"after","PRCN6","PRCN6-B",5,0,0,0,0,5,0,0,0,0,0,2,0,8,0,0,0,0
"after","PRCN6","PRCN6-C",2,0,0,0,0,1,0,0,0,0,0,1,0,7,3,0,0,0
"after","PRCN6","PRCN6-D",0,0,1,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0
"before","PRCN6","PRCN6-A",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0
"before","PRCN6","PRCN6-B",2,0,0,0,0,7,0,0,0,0,0,1,0,42,17,0,0,1
"before","PRCN6","PRCN6-C",0,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,1,0
"before","PRCN6","PRCN6-D",1,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0
"after","TWB1","TWB1-A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"after","TWB1","TWB1-B",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","TWB1","TWB1-C",0,0,0,0,0,2,0,2,1,0,0,0,0,4,0,0,0,0
"after","TWB1","TWB1-D",4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"before","TWB1","TWB1-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"before","TWB1","TWB1-B",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0
"before","TWB1","TWB1-C",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"before","TWB1","TWB1-D",1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0
"after","TWB2","TWB2-A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","TWB2","TWB2-B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","TWB2","TWB2-C",3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","TWB2","TWB2-D",5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
"before","TWB2","TWB2-A",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"before","TWB2","TWB2-B",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"before","TWB2","TWB2-C",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"before","TWB2","TWB2-D",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"after","TWBCN2","TWBCN2-A",13,0,0,0,0,10,0,14,0,0,0,0,0,10,0,0,0,0
"after","TWBCN2","TWBCN2-B",11,0,294,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0
"after","TWBCN2","TWBCN2-C",9,0,11,0,0,1,0,7,0,0,0,2,0,1,0,0,0,0
"after","TWBCN2","TWBCN2-D",8,0,25,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0
"before","TWBCN2","TWBCN2-A",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"before","TWBCN2","TWBCN2-B",0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,18,0
"before","TWBCN2","TWBCN2-C",3,0,3,0,0,7,0,0,0,0,0,0,2,5,0,0,2,0
"before","TWBCN2","TWBCN2-D",0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"after","TWBCN3","TWBCN3-A",0,0,16,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0
"after","TWBCN3","TWBCN3-B",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after","TWBCN3","TWBCN3-C",3,0,8,0,0,6,0,30,0,0,0,0,0,13,0,0,0,0
"after","TWBCN3","TWBCN3-D",6,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
"before","TWBCN3","TWBCN3-A",0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"before","TWBCN3","TWBCN3-B",0,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0
"before","TWBCN3","TWBCN3-C",0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"before","TWBCN3","TWBCN3-D",0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,1,0
