t	x	y
3.493975904	184.4239579	329.771978
3.554216867	181.0604629	326.1401385
3.614457831	196.4551978	341.2309288
3.674698795	215.6987075	360.1348936
3.734939759	205.2134815	349.2745224
3.795180723	206.7696707	350.4199662
3.855421687	189.4604707	332.6644207
3.915662651	206.8336488	349.5556529
3.975903614	222.7690461	364.9735041
4.036144578	214.9547134	356.6060252
4.096385542	220.0802529	361.1428181
4.156626506	223.81194	364.2501585
4.21686747	223.0317382	362.8100097
4.277108434	214.6843556	353.7670799
4.337349398	242.4746792	380.826256
4.397590361	231.6357693	369.2205985
4.457831325	228.1974868	364.979968
4.518072289	238.3635963	374.3081293
4.578313253	247.4663775	382.5373621
4.638554217	249.647989	383.8098251
4.698795181	253.5236865	386.7407737
4.759036145	263.5096448	395.746383
4.819277108	254.311706	385.5324948
4.879518072	263.0742541	393.2434934
4.939759036	256.3453742	385.4274637
5	271.8821359	399.8414754
5.060240964	284.8214646	411.6224538
5.120481928	286.2067577	411.8137964
5.180722892	287.2680502	411.6455382
5.240963855	289.9457829	413.05812
5.301204819	293.9748193	415.7864052
5.361445783	301.2627092	421.7379437
5.421686747	283.3177553	402.4210382
5.481927711	321.6357458	439.3314768
5.542168675	302.0246811	418.27726
5.602409639	324.7857082	439.5595348
5.662650602	324.0157331	437.2752072
5.722891566	317.7894996	429.4990208
5.78313253	306.5016429	416.6256111
5.843373494	320.2999681	428.802783
5.903614458	318.2105821	425.0566436
5.963855422	321.5196631	426.6733708
6.024096386	349.1517496	452.5775033
6.084337349	331.9738499	433.6360494
6.144578313	332.2921139	432.1551591
6.204819277	336.0453493	434.0736398
6.265060241	322.8046193	418.9625549
6.325301205	334.7573151	429.0092956
6.385542169	331.7012095	424.0116347
6.445783133	353.9531675	444.286437
6.506024096	351.8516538	440.1721675
6.56626506	345.3133054	431.585463
6.626506024	370.9368184	455.1250198
6.686746988	369.4805871	451.549232
6.746987952	368.5544661	448.4679543
6.807228916	373.1510492	450.8737804
6.86746988	361.570332	437.066706
6.927710843	371.2027696	444.4371861
6.987951807	381.2936812	452.23054
7.048192771	371.6277563	440.2314572
7.108433735	406.7531277	472.9880705
7.168674699	398.4147081	462.2452925
7.228915663	399.9999526	461.3905784
7.289156627	394.2871448	453.2022117
7.34939759	385.2319337	441.6358416
7.409638554	409.6797997	463.5369483
7.469879518	415.537433	466.8122221
7.530120482	409.5130273	458.1698566
7.590361446	405.9568579	451.9601272
7.65060241	418.3812366	461.6953457
7.710843373	420.5796075	461.1689561
7.771084337	413.2694917	451.0984796
7.831325301	418.0254781	453.0585051
7.891566265	428.220987	460.4224528
7.951807229	437.9413892	467.2756936
8.012048193	451.8048601	478.2364029
8.072289157	426.8200847	450.3132656
8.13253012	434.6141073	455.1333262
8.192771084	453.9748183	471.4844748
8.253012048	446.8146385	461.2791325
8.313253012	454.4666516	465.8503828
8.373493976	445.0604627	453.3278309
8.43373494	452.8915163	458.0069212
8.493975904	461.6505596	463.5784011
8.554216867	454.3349632	453.0396409
8.614457831	475.591097	471.0370108
8.674698795	458.0802692	450.2318188
8.734939759	478.9800573	467.8016425
8.795180723	476.5872492	462.0432698
8.855421687	467.4587086	449.5135643
8.915662651	495.9890533	474.6071439
8.975903614	486.4552444	461.6009696
9.036144578	484.9337426	456.5715023
9.096385542	496.3182638	464.4124577
9.156626506	493.1302463	457.6452741
9.21686747	495.628217	456.5284786
9.277108434	495.5252214	452.7751165
9.337349398	509.353398	462.9173263
9.397590361	498.8022509	448.6446123
9.457831325	512.2396989	458.324893
9.518072289	512.7847243	455.077151
9.578313253	514.6589815	453.1230406
9.638554217	526.4419233	461.0420144
9.698795181	527.5491002	458.2496233
9.759036145	525.1761067	451.9414614
9.819277108	534.9318521	457.7264382
9.879518072	519.9647443	438.7529616
9.939759036	528.9931943	443.7394425
10	541.0136733	451.6823523
10.06024096	556.2663868	462.8218962
10.12048193	537.0969439	439.5036836
10.18072289	536.5970982	434.8194679
10.24096386	554.043631	448.0460304
10.30120482	556.6666836	446.4135126
10.36144578	547.9616408	433.4172991
10.42168675	563.0862622	444.2151496
10.48192771	564.0039255	440.7704418
10.54216867	571.0472781	443.415823
10.60240964	563.8930421	431.8280153
10.6626506	571.2259812	434.6917826
10.72289157	573.6871698	432.6481992
10.78313253	592.2031634	446.6238204
10.84337349	581.5664663	431.4111508
10.90361446	586.0287296	431.2618413
10.96385542	576.998291	417.5842297
11.02409639	595.9977273	431.9008928
11.08433735	593.6715913	424.8563834
11.14457831	609.5357452	435.9665636
11.20481928	613.7223231	435.3635675
11.26506024	605.4624687	422.278539
11.3253012	599.3788108	411.3341066
11.38554217	612.1953627	419.2542839
11.44578313	618.3915547	420.518501
11.5060241	613.8719171	411.0312883
11.56626506	619.3272728	411.4834688
11.62650602	632.092645	419.2100654
11.68674699	643.5154674	425.558512
11.74698795	624.0842869	401.0173555
11.80722892	633.3222106	405.1097029
11.86746988	622.3574961	388.9638119
11.92771084	651.0594298	412.4489689
11.98795181	652.9894832	409.1266453
12.04819277	658.6259332	409.4751182
12.10843373	654.4036712	399.9292788
12.1686747	652.9692761	393.135706
12.22891566	643.7228253	378.4944773
12.28915663	669.3021851	398.643459
12.34939759	677.4308689	401.3061645
12.40963855	675.8332406	394.2069576
12.46987952	668.4385279	381.275066
12.53012048	670.6172125	377.8809717
12.59036145	679.4068165	381.0621964
12.65060241	682.9678272	378.9792275
12.71084337	690.2962804	380.628101
12.77108434	700.4300957	385.0467363
12.8313253	702.600908	381.4667684
12.89156627	699.4794051	372.5588851
12.95180723	690.6345898	357.8920891
13.01204819	695.9145984	357.3145168
13.07228916	696.4542648	351.9610021
13.13253012	718.3512384	367.9291943
13.19277108	699.0730103	342.6865847
13.25301205	707.7023688	345.3159613
13.31325301	720.9678651	352.5458756
13.37349398	729.7562982	355.2631264
13.43373494	729.000987	348.4010326
13.4939759	734.8662313	348.1238942
13.55421687	729.5525003	336.6321802
13.61445783	729.7150366	330.5811332
13.6746988	724.4710351	319.0879483
13.73493976	741.6555254	329.9876549
13.79518072	756.4871349	338.4988805
13.85542169	750.1547077	325.8104691
13.91566265	763.6162939	332.8804709
13.97590361	758.801425	321.6384174
14.03614458	760.1806362	316.5548438
14.09638554	754.6066654	304.4824879
14.15662651	766.3335359	309.6753731
14.21686747	759.8969907	296.6692423
14.27710843	780.6395504	310.8066163
14.3373494	766.2258732	289.7521531
14.39759036	772.8369313	289.6868249
14.45783133	791.5037492	301.6416563
14.51807229	778.8264208	282.2167413
14.57831325	797.0322518	293.6393853
14.63855422	789.4775116	279.2658579
14.69879518	791.0420493	273.9760082
14.75903614	794.3993581	270.4433294
14.81927711	808.0490771	277.1674605
14.87951807	791.383543	253.5407383
14.93975904	794.7314769	249.8918839
15	814.8662955	262.9943139
